year,Business Equipment,Chemicals,Consumer Durables,Consumer non Durables,Finance,Healthcare,Manufacturing,"Oil, Gas, and Coal",Other,Retail,Telecommunications,Utilities
1990,0.07978398291978885,0.053342764469070596,0.036622061892029996,0.12294489369421542,0.06257103014084942,0.09145373784260435,0.12809999619493725,0.11266251028244488,0.06594274028879002,0.07469927534454783,0.09454643185936029,0.07733057507136108
1991,0.07981908038423961,0.05349289613560399,0.03089030469245721,0.1383308485691005,0.06521067559876052,0.11284597628039554,0.12254232052674956,0.09915154278251935,0.05915177085119983,0.08514716262099055,0.07976684755041352,0.07365057400756983
1992,0.0797071987445731,0.05669645047434866,0.031770268283266734,0.1407652277663818,0.06925342617204062,0.11350999950868024,0.12111959625246871,0.08503570887271701,0.06057558103180055,0.09307283306589452,0.07703052616942531,0.07146318365840273
1993,0.08672721011989666,0.05168895478435772,0.04103472395379175,0.12362325992349267,0.0840490903000648,0.08809010720525595,0.12375089402888197,0.0856471739307058,0.06384942256295666,0.09340719623822506,0.08584442850910702,0.07228753844326395
1994,0.10195346722234211,0.054934168743304396,0.04600258404481805,0.11221065267030939,0.085863950830316,0.08792693270981727,0.12859968584740297,0.08120309006562727,0.06527004301901078,0.0913703036121296,0.08617725121557472,0.05848787001934741
1995,0.12905426286922764,0.05088470852035706,0.042985542025519456,0.11137833332811596,0.08674036632316645,0.09804742287410868,0.12765650640003948,0.07856263382031177,0.06071155634118964,0.08084114209130545,0.07994895391068223,0.053188571495976195
1996,0.1441726426083374,0.048658727467356215,0.03969978056165996,0.10988075066844767,0.08951263679545562,0.10800068297105654,0.1273036393327129,0.07823581292261864,0.06361143788032801,0.07782312772684806,0.06821236685385806,0.0448883942113209
1997,0.157197172372091,0.047310835506002534,0.032166134725120796,0.10947541003986462,0.09652428556040314,0.10947998553518988,0.13074326369528072,0.07872061579867556,0.061762452165530564,0.07630755994825274,0.06283680461802373,0.03747548003556473
1998,0.1675032641879629,0.04162318215158208,0.02998552483356071,0.10546426647605657,0.09840434228739701,0.11880360308325179,0.11413613871086979,0.0612108805202204,0.05942979943403678,0.08678923207958805,0.08034549505360739,0.036304271181866514
1999,0.23081437315226452,0.03490677690670777,0.02548254649868711,0.09303718416501587,0.0899276380906593,0.10534360825765056,0.10029526595846537,0.05275131078297568,0.058562653557999195,0.09212296974828844,0.08971488693091899,0.0270407859503672
2000,0.3033727847742866,0.026917318600016834,0.02210147615907684,0.07076703721382398,0.08598792560528462,0.10729714024096637,0.09526694756027397,0.0520861636024244,0.048093795142152174,0.0786214177661764,0.08617377581163482,0.02331421752388303
2001,0.19405801277394477,0.03364700257969508,0.022073233310831362,0.07182102094423398,0.10594631639648082,0.13709163666405685,0.1025584949066189,0.06212381841594358,0.05830888416417641,0.10251951409108967,0.08081079851977997,0.029041267233148618
2002,0.16683682938438196,0.04125828222274596,0.021299337963797894,0.0791588070694605,0.11829691690827819,0.1333830242658515,0.10434667738956348,0.06137408471948016,0.06106194677014835,0.11644657658650419,0.06632541100184415,0.03021210571794367
2003,0.17830059592009398,0.03763010277889047,0.018336187588118617,0.07610151800480258,0.11825139016268686,0.13305902707885353,0.10399614428000974,0.060328359563049216,0.06412033332397112,0.11497943165627994,0.06530526120182022,0.02959164844142373
2004,0.1768672644805448,0.036982333026893334,0.0193005305415572,0.07537464930100919,0.119444346178894,0.12915513125912356,0.1037562185029216,0.0678991389949773,0.07278889243002053,0.10716151074051522,0.06073287969508318,0.030537104848460065
2005,0.16409967747662504,0.0379063177883261,0.016675405879994994,0.07840014056468388,0.11832307948937855,0.11970962057446387,0.11009932322707032,0.086396354452534,0.07602191554341246,0.10545565474105821,0.052774086029283025,0.03413842423316956
2006,0.15873512699043246,0.03999728609842459,0.015901945822683197,0.07686871989705865,0.12687815031482122,0.11322751779462703,0.1033139844270103,0.0911224635627227,0.08076755795840186,0.10500082661118552,0.052505243459563346,0.03568117706306909
2007,0.15866045364992712,0.0425701747702216,0.01460110909196006,0.0776022718616719,0.123848511337593,0.10421243716190427,0.11356109113003537,0.09641117729478726,0.08079874271456738,0.09331501176388873,0.0583415430984442,0.03607747612499911
