time,ret,volume
30jul2010,-.1632395833730698,657886
31aug2010,-.0230692569166422,153193
30sep2010,.0474846586585045,183742
29oct2010,.0703258737921715,67145
30nov2010,.6176740527153015,288315
31dec2010,-.2462497055530548,375034
31jan2011,-.0950055867433548,288394
28feb2011,-.0087137343361974,297362
31mar2011,.1615739166736603,330507
29apr2011,-.0054053915664554,304181
31may2011,.092028945684433,309169
30jun2011,-.0335102938115597,403597
29jul2011,-.0329556837677956,214190
31aug2011,-.1217607483267784,276898
30sep2011,-.0141471456736326,183865
31oct2011,.2041821032762527,220924
30nov2011,.1147429570555687,263571
30dec2011,-.1276726275682449,215510
31jan2012,.0178571511059999,261418
29feb2012,.1492948085069656,236238
30mar2012,.1146363914012909,226538
30apr2012,-.1103652119636536,232773
31may2012,-.1095683947205544,348464
29jun2012,.0606779977679253,265393
31jul2012,-.1236817091703415,328992
31aug2012,.0401167161762714,247781
28sep2012,.026647973805666,335868
31oct2012,-.039228193461895,178360
30nov2012,.2022153437137604,224326
31dec2012,.0014783926308155,217520
31jan2013,.1074697226285934,284657
28feb2013,-.0714475214481354,444114
28mar2013,.0878552198410034,301808
30apr2013,.4249143004417419,827756
31may2013,.8107056617736816,3355943
28jun2013,.0981996580958366,1819354
31jul2013,.2507451474666595,2336295
30aug2013,.2585642039775848,2644640
30sep2013,.1442011594772339,1754400
31oct2013,-.1728809773921967,2651454
29nov2013,-.2042015939950943,3152008
31dec2013,.181874617934227,1984570
31jan2014,.205950990319252,1836446
28feb2014,.3494845628738403,2269557
31mar2014,-.1485233455896378,1668698
30apr2014,-.0026864837855101,1652950
30may2014,-.0005772048607469,1353228
30jun2014,.1554121971130371,1235014
31jul2014,-.0698158591985703,1080588
29aug2014,.2077922523021698,1149281
30sep2014,-.1001854613423347,1329469
31oct2014,-.0040382221341133,1521398
28nov2014,.0116673866286874,1077170
31dec2014,-.090422049164772,1271222
30jan2015,-.0845735222101212,903618
27feb2015,-.0012770616449416,1067279
31mar2015,-.071653351187706,1229766
30apr2015,.1974889934062958,989382
29may2015,.1094890460371971,891151
30jun2015,.0696172490715981,654816
31jul2015,-.0078655621036887,800688
31aug2015,-.0642118975520134,1152837
30sep2015,-.0026499785017222,803404
30oct2015,-.1669484823942184,1008628
30nov2015,.1127434521913528,786080
31dec2015,.0423434376716614,598469
29jan2016,-.2033665180206299,794122
29feb2016,.0038179692346603,1337311
31mar2016,.1971552819013596,1029597
29apr2016,.0478303954005241,1355210
31may2016,-.072811096906662,1033095
30jun2016,-.049052532762289,1217461
29jul2016,.1060391664505005,742092
31aug2016,-.0970228686928749,622504
30sep2016,-.0376397147774696,707217
31oct2016,-.0308778267353773,922365
30nov2016,-.0421281643211842,988496
30dec2016,.1282471418380737,879924
31jan2017,.178950771689415,1008133
28feb2017,-.0077005010098219,1195495
31mar2017,.1132444590330124,1070387
28apr2017,.1285304427146912,1170001
31may2017,.0857770591974258,1481990
30jun2017,.0604087114334106,1859796
31jul2017,-.105472706258297,1816705
31aug2017,.1002565696835518,1369905
29sep2017,-.0415846817195415,1115125
31oct2017,-.0280563086271286,1230312
30nov2017,-.0684100762009621,1488451
29dec2017,.0080945445224643,1099476
31jan2018,.137979730963707,1243079
28feb2018,-.0317518562078476,1091960
29mar2018,-.224246472120285,1572578
30apr2018,.1043474525213242,1906004
31may2018,-.0312010310590267,1555774
29jun2018,.2044744044542313,2136042
31jul2018,-.1306604295969009,1723953
31aug2018,.0118064964190125,2773316
28sep2018,-.1222900450229645,1960767
31oct2018,.274011492729187,2864231
30nov2018,.0390134081244469,1331285
31dec2018,-.050445169210434,1464466
31jan2019,-.0774639397859573,1757076
28feb2019,.0418865755200386,1285744
29mar2019,-.1251094788312912,2137844
30apr2019,-.1471092104911804,2307535
31may2019,-.2242657840251923,2826537
28jun2019,.20684814453125,2149819
31jul2019,.0812225639820099,1994069
30aug2019,-.0662224218249321,1340932
30sep2019,.0676388218998909,1365915
31oct2019,.307427316904068,2351125
29nov2019,.0476946160197258,1578851
31dec2019,.2678971290588379,2070288
31jan2020,.555159866809845,4072082
28feb2020,.0267764925956726,4720676
31mar2020,-.2155571132898331,4200834
30apr2020,.4921374022960663,3806580
29may2020,.0679388046264648,2723026
30jun2020,.2931857109069824,2551787
31jul2020,.3250108063220978,3776740
31aug2020,.7414520978927612,4051970
30sep2020,-.1390873193740845,17331954
30oct2020,-.0954989418387413,8330610
30nov2020,.4627357125282288,7811501
31dec2020,.24325230717659,11962716
