time,month,volume
30jul2010,7,657886
31aug2010,8,153193
30sep2010,9,183742
29oct2010,10,67145
30nov2010,11,288315
31dec2010,12,375034
31jan2011,1,288394
28feb2011,2,297362
31mar2011,3,330507
29apr2011,4,304181
31may2011,5,309169
30jun2011,6,403597
29jul2011,7,214190
31aug2011,8,276898
30sep2011,9,183865
31oct2011,10,220924
30nov2011,11,263571
30dec2011,12,215510
31jan2012,1,261418
29feb2012,2,236238
30mar2012,3,226538
30apr2012,4,232773
31may2012,5,348464
29jun2012,6,265393
31jul2012,7,328992
31aug2012,8,247781
28sep2012,9,335868
31oct2012,10,178360
30nov2012,11,224326
31dec2012,12,217520
31jan2013,1,284657
28feb2013,2,444114
28mar2013,3,301808
30apr2013,4,827756
31may2013,5,3355943
28jun2013,6,1819354
31jul2013,7,2336295
30aug2013,8,2644640
30sep2013,9,1754400
31oct2013,10,2651454
29nov2013,11,3152008
31dec2013,12,1984570
31jan2014,1,1836446
28feb2014,2,2269557
31mar2014,3,1668698
30apr2014,4,1652950
30may2014,5,1353228
30jun2014,6,1235014
31jul2014,7,1080588
29aug2014,8,1149281
30sep2014,9,1329469
31oct2014,10,1521398
28nov2014,11,1077170
31dec2014,12,1271222
30jan2015,1,903618
27feb2015,2,1067279
31mar2015,3,1229766
30apr2015,4,989382
29may2015,5,891151
30jun2015,6,654816
31jul2015,7,800688
31aug2015,8,1152837
30sep2015,9,803404
30oct2015,10,1008628
30nov2015,11,786080
31dec2015,12,598469
29jan2016,1,794122
29feb2016,2,1337311
31mar2016,3,1029597
29apr2016,4,1355210
31may2016,5,1033095
30jun2016,6,1217461
29jul2016,7,742092
31aug2016,8,622504
30sep2016,9,707217
31oct2016,10,922365
30nov2016,11,988496
30dec2016,12,879924
31jan2017,1,1008133
28feb2017,2,1195495
31mar2017,3,1070387
28apr2017,4,1170001
31may2017,5,1481990
30jun2017,6,1859796
31jul2017,7,1816705
31aug2017,8,1369905
29sep2017,9,1115125
31oct2017,10,1230312
30nov2017,11,1488451
29dec2017,12,1099476
31jan2018,1,1243079
28feb2018,2,1091960
29mar2018,3,1572578
30apr2018,4,1906004
31may2018,5,1555774
29jun2018,6,2136042
31jul2018,7,1723953
31aug2018,8,2773316
28sep2018,9,1960767
31oct2018,10,2864231
30nov2018,11,1331285
31dec2018,12,1464466
31jan2019,1,1757076
28feb2019,2,1285744
29mar2019,3,2137844
30apr2019,4,2307535
31may2019,5,2826537
28jun2019,6,2149819
31jul2019,7,1994069
30aug2019,8,1340932
30sep2019,9,1365915
31oct2019,10,2351125
29nov2019,11,1578851
31dec2019,12,2070288
31jan2020,1,4072082
28feb2020,2,4720676
31mar2020,3,4200834
30apr2020,4,3806580
29may2020,5,2723026
30jun2020,6,2551787
31jul2020,7,3776740
31aug2020,8,4051970
30sep2020,9,17331954
30oct2020,10,8330610
30nov2020,11,7811501
31dec2020,12,11962716
